| 2015-04-08 |               78 |              71 |              84 |               57 |               78 |              35 |              92 |                1,971 |                1,986 |                 0.00 |                  0.10 |                 3.26 |
| 2015-04-09 |               78 |              70 |              86 |               58 |               78 |              36 |              92 |                1,973 |                1,963 |                 0.00 |                  0.10 |                 2.68 |
| 2015-04-18 |               72 |              66 |              78 |               60 |               80 |              42 |              94 |                1,999 |                1,987 |                 0.09 |                  0.11 |                 8.16 |
| 2015-04-23 |               79 |              69 |              88 |               61 |               81 |              44 |              91 |                1,998 |                1,999 |                 0.00 |                  0.11 |                 2.40 |
| 2015-04-24 |               78 |              71 |              85 |               62 |               81 |              46 |              92 |                1,995 |                1,894 |                 0.00 |                  0.12 |                 2.24 |
| 2015-04-25 |               78 |              67 |              88 |               62 |               82 |              41 |              90 |                1,910 |                1,987 |                 0.21 |                  0.13 |                 2.50 |
| 2015-05-02 |               70 |              57 |              83 |               64 |               83 |              45 |              96 |                1,976 |                1,964 |                 0.00 |                  0.15 |                 3.48 |
| 2015-05-06 |               78 |              73 |              83 |               65 |               84 |              49 |              94 |                2,013 |                1,906 |                 0.41 |                  0.17 |                 5.00 |
| 2015-05-09 |               82 |              76 |              87 |               66 |               85 |              46 |              94 |                1,984 |                1,998 |                 0.00 |                  0.17 |                 2.42 |
| 2015-05-14 |               80 |              72 |              87 |               67 |               86 |              47 |              93 |                1,971 |                1,995 |                 0.05 |                  0.16 |                 2.44 |
| 2015-05-16 |               81 |              73 |              89 |               68 |               86 |              47 |              93 |                1,973 |                2,003 |                 0.00 |                  0.17 |                 2.80 |
| 2015-05-17 |               78 |              71 |              85 |               68 |               87 |              52 |              95 |                1,970 |                1,894 |                 0.98 |                  0.17 |                 4.20 |
| 2015-05-22 |               72 |              65 |              79 |               69 |               88 |              48 |              96 |                1,892 |                2,005 |                 0.00 |                  0.16 |                 3.10 |
| 2015-06-04 |               80 |              69 |              90 |               72 |               90 |              59 |              98 |                1,970 |                2,011 |                 0.00 |                  0.17 |                 3.72 |
| 2015-06-05 |               82 |              72 |              92 |               72 |               90 |              56 |             105 |                1,970 |                2,011 |                 0.00 |                  0.18 |                 5.33 |
| 2015-06-12 |               83 |              74 |              92 |               73 |               91 |              55 |             101 |                1,979 |                1,978 |                 0.00 |                  0.22 |                 3.05 |
| 2015-06-14 |               81 |              74 |              88 |               73 |               91 |              55 |             102 |                1,903 |                1,998 |                 0.52 |                  0.21 |                 3.81 |
| 2015-06-17 |               80 |              76 |              84 |               74 |               92 |              62 |             100 |                1,989 |                1,902 |                 0.70 |                  0.21 |                 1.51 |
| 2015-06-23 |               84 |              76 |              92 |               74 |               92 |              60 |             101 |                1,904 |                2,009 |                 0.00 |                  0.20 |                 2.22 |
